date,pantone,hex,meta,description,color
DEC 31,PANTONE 18-5610,4C8087,POWERFUL,"YOUR talent and power is quite exceptional but is not always easy to handle.  A strong base is needed to support your energy and drive.  Discipline, intention and love are needed to achieve things with a feeling of peace and accomplishment.  Your personal color resonates with gratitude and humility.  Wearing, meditating or surrounding yourself with Brittany Blue helps dissolve the lines of separation and loneliness that people sometimes feel.  It reminds you to appreciate your gifts and helps you feel connected to the world.",BRITTANY BLUE
DEC 31,PANTONE 18-5610,4C8087,CHARISMATIC,"YOUR talent and power is quite exceptional but is not always easy to handle.  A strong base is needed to support your energy and drive.  Discipline, intention and love are needed to achieve things with a feeling of peace and accomplishment.  Your personal color resonates with gratitude and humility.  Wearing, meditating or surrounding yourself with Brittany Blue helps dissolve the lines of separation and loneliness that people sometimes feel.  It reminds you to appreciate your gifts and helps you feel connected to the world.",BRITTANY BLUE
DEC 31,PANTONE 18-5610,4C8087,REGAL,"YOUR talent and power is quite exceptional but is not always easy to handle.  A strong base is needed to support your energy and drive.  Discipline, intention and love are needed to achieve things with a feeling of peace and accomplishment.  Your personal color resonates with gratitude and humility.  Wearing, meditating or surrounding yourself with Brittany Blue helps dissolve the lines of separation and loneliness that people sometimes feel.  It reminds you to appreciate your gifts and helps you feel connected to the world.",BRITTANY BLUE
DEC 30,PANTONE 16-1429,B16E52,ARTIST,"YOUR ability to make people stand up and take notice is one of your many gifts.  You are able to convey ideas and opinions to the masses.  Communicating life's truths is one of your many pleasures.  Unique and colorful, people don't often forget you once they have met you.  Your verbal agility is quite rare.  Wearing, meditating or surrounding yourself with the color Sunburn helps you channel the creative and sensitive side of your personality in a healthy and balanced manner.",SUNBURN
DEC 30,PANTONE 16-1429,B16E52,COMMUNICATOR,"YOUR ability to make people stand up and take notice is one of your many gifts.  You are able to convey ideas and opinions to the masses.  Communicating life's truths is one of your many pleasures.  Unique and colorful, people don't often forget you once they have met you.  Your verbal agility is quite rare.  Wearing, meditating or surrounding yourself with the color Sunburn helps you channel the creative and sensitive side of your personality in a healthy and balanced manner.",SUNBURN
DEC 30,PANTONE 16-1429,B16E52,STORYTELLER,"YOUR ability to make people stand up and take notice is one of your many gifts.  You are able to convey ideas and opinions to the masses.  Communicating life's truths is one of your many pleasures.  Unique and colorful, people don't often forget you once they have met you.  Your verbal agility is quite rare.  Wearing, meditating or surrounding yourself with the color Sunburn helps you channel the creative and sensitive side of your personality in a healthy and balanced manner.",SUNBURN
DEC 29,PANTONE 18-3718,7D7098,TALENTED,"TALENTED and versatile, you are a great entertainer.  Your natural spunk makes you a favorite at any social function.  Although you can appear outgoing to others, you are also very sensitive with a need to retreat and re-energize.  The challenge of having two very different qualities to your personality can at times feel overwhelming.  The desire to be alone, coupled with the need for a mate, is another challenge you sometimes face.  Your personal color helps you step forward with confidence.  Wearing, meditating or surrounding yourself with Purple Haze allows you to join with another person without the fear of losing your individuality.",PURPLE HAZE
DEC 29,PANTONE 18-3718,7D7098,VERSATILE,"TALENTED and versatile, you are a great entertainer.  Your natural spunk makes you a favorite at any social function.  Although you can appear outgoing to others, you are also very sensitive with a need to retreat and re-energize.  The challenge of having two very different qualities to your personality can at times feel overwhelming.  The desire to be alone, coupled with the need for a mate, is another challenge you sometimes face.  Your personal color helps you step forward with confidence.  Wearing, meditating or surrounding yourself with Purple Haze allows you to join with another person without the fear of losing your individuality.",PURPLE HAZE
DEC 29,PANTONE 18-3718,7D7098,SPIRITUAL,"TALENTED and versatile, you are a great entertainer.  Your natural spunk makes you a favorite at any social function.  Although you can appear outgoing to others, you are also very sensitive with a need to retreat and re-energize.  The challenge of having two very different qualities to your personality can at times feel overwhelming.  The desire to be alone, coupled with the need for a mate, is another challenge you sometimes face.  Your personal color helps you step forward with confidence.  Wearing, meditating or surrounding yourself with Purple Haze allows you to join with another person without the fear of losing your individuality.",PURPLE HAZE
DEC 28,PANTONE 17-5126,009698,QUICK,"BORN TO lead and inspire, you do well at the head of the class.  You are charismatic and self-assured and can move through different parts of society with ease and confidence.  Most people born on this day are hardworking and driven. Try not to let your confidence and sense of purpose lead you to doing everything yourself.  Security and a sense of belonging are important to your well-being.  Your personal color helps you stay flexible and open to the unexpected.  Wearing, meditating or surrounding yourself with Viridian Green helps you guard against being stubborn or emotionally unavailable.",VIRIDIAN GREEN
